code,material,location,specification,source
M01,Limestone floor,Living / kitchen / circulation,Honed warm cream; sample approval; 150 m²,TS-260918
M02,European oak,Kitchen / joinery,Natural matte finish; quarter-cut grain,GA-260918
M03,Travertine,Kitchen island / worktops,"Filled, honed, vein-cut; sealed sample approval",QO-260918
M04,Limewash / mineral paint,Main walls,Warm ivory; 180 m² allowance,TS-260918
M05,Bronze metal,Taps / handles / luminaires,Brushed finish; align approved samples,SB-260918 / HO-260918
T01,Ivory linen,Living sofa,Removable cover preference; cleanability review,SE-260918
T02,Olive bouclé,Lounge chairs / study,Olive undertone; abrasion review,SE-260918
T03,Mushroom wool,Living / bedroom rugs,Low pile; final size to be measured,SE-260918
T04,Sheer drapery,Glazed elevations,Warm white; full height; 48 linear metres,VT-260918
A01,Dune study,Living / study,Original fictional art direction; umber / chalk / ochre,FE-260918
