key,label,vendor,amount,source,parent,included,kind,min_amount,max_amount,optional,note
landscape,Landscape construction,Terra Forma — fictional,64000,TF-260918,,False,quote,,,False,"€18,000 earthworks + €12,000 drainage + €34,000 hardscape. All three subcontract packages included."
earth,Ground preparation & earthworks,Ground Atelier — fictional,18000,GR-260918,landscape,True,quote,,,False,"Included in Terra Forma. Protection, site preparation, grading and ordinary spoil allowance. Unforeseen contamination excluded."
drain,Drainage & irrigation distribution,Raincraft — fictional,12000,RC-260918,landscape,True,quote,,,False,Included in Terra Forma. Drainage routes and irrigation pipework; below-ground rainwater storage is optional and additional.
hardscape,"Paths, terraces & sunken lounge",Stone & Line — fictional,34000,SL-260918,landscape,True,quote,,,False,"Included in Terra Forma. €19,500 stone supply + €14,500 bedding, laying, gravel and lounge construction."
stone,Limestone supply & fabrication,Quarry North — fictional,19500,QN-260918,hardscape,True,quote,,,False,"Second-tier subquote: included in Stone & Line, itself included in Terra Forma. Never add this again."
pavilion,Charred-timber dining pavilion,Timber Field — fictional,32000,TI-260918,,False,quote,,,False,"€23,000 timber, roof and fitting + €9,000 structural metalwork. Outdoor kitchen is additional and optional."
steel,Pavilion metalwork package,Frame Studio — fictional,9000,FR-260918,pavilion,True,quote,,,False,Included in Timber Field. Fabrication and fitting allowance; final engineering remains a review gate.
kitchen,Optional outdoor kitchen,Timber Field — fictional,12800,TI-260918,pavilion,False,quote,,,True,"Additional to the €32,000 pavilion. Images show this option; unselected in the base budget."
planting,"Trees, meadow & woodland planting",Wild Form Nursery — fictional,29500,WF-260918,,False,quote,,,False,"Trees €11,000 + perennials/grasses €12,500 + woodland understorey €6,000. Concept quantities, pending survey and nursery approval."
water,Reflecting pool & water equipment,Still Waterworks — fictional,16800,SW-260918,,False,quote,,,False,"Decorative water feature allowance, not a swimming pool. Includes lining, edge coordination and recirculation equipment."
lighting,Garden lighting & controls,Afterglow Gardens — fictional,12400,AG-260918,,False,quote,,,False,"Fixtures €7,200 + cabling/installation €3,000 + controls/commissioning €2,200. Final electrical design by appointed specialist."
furniture,Outdoor furniture & objects,Outside Editions — fictional,,OE-260918,,False,estimate,14500,22500,False,"Base €14,500; premium teak, upholstery and larger dining selection €22,500. Covers loose furniture only."
potager,Productive garden & oak beds,Kitchen Garden Co — fictional,6200,KG-260918,,False,quote,,,False,"Four raised beds, gravel working surface, trellis and starter planting. Hand-filled surface water butt included."
design,Landscape design & coordination,Stillwater Landscape Studio — fictional,14800,ST-260918,,False,quote,,,False,"Concept, design development, specifications and six site reviews. Surveys, permits and specialist engineering excluded."
care,First-year establishment care,Wild Form Care — fictional,5200,WC-260918,,False,quote,,,False,"Eight scheduled visits, planting establishment review and seasonal handover. Not a low-maintenance guarantee."
reserve,Client-held contingency,Client allowance — fictional,18000,budget,,False,estimate,,,False,Planning reserve held by the client; not a supplier commitment.
rain,Optional rainwater storage system,Raincraft — fictional,6400,RW-260918,drain,False,quote,,,True,"Additional to the drainage package: underground tank, pump and connection allowance. Site feasibility review required."
site,Unforeseen ground conditions,Survey pending — fictional,,scope,,False,unknown,,,False,"Unpriced and excluded: contaminated spoil, unexpected obstructions and exceptional ground remediation."
