key,label,vendor,amount,source,parent,included,kind,min_amount,max_amount,optional,note
build,Conversion construction package,Alpen Bauatelier — fictional,248000,AB-260918,,False,quote,,,False,"€92,000 structure/replanning + €98,000 roof/fabric + €58,000 building services. Subquotes included once."
structure,Structural adaptations & replanning,Berg Struktur — fictional,92000,BS-260918,build,True,quote,,,False,"Included in Alpen Bauatelier. Local openings, supports, selective partitions and making good; technical design required."
roof,Roof renewal & envelope insulation,Dach & Holz — fictional,98000,DH-260918,build,True,quote,,,False,Included in main construction. Preserve roof geometry; renewed weathering layers and insulation allowance. Glazing separately priced.
services,Building services coordination,Haus Technik — fictional,58000,HT-260918,build,True,quote,,,False,"Included in construction: €24,000 electrical + €34,000 heating/ventilation. Decorative light fixtures excluded."
electrical,Electrical installation & controls,Lichtwerk Tirol — fictional,24000,LT-260918,services,True,quote,,,False,Second-tier included subquote within Haus Technik and Alpen Bauatelier. Do not add again.
heating,Heating & ventilation package,Klima Berg — fictional,34000,KB-260918,services,True,quote,,,False,Included in Haus Technik. System selection and performance follow specialist design; no energy rating is promised.
glazing,"Windows, doors & enlarged view openings",Panorama Werk — fictional,104000,PW-260918,,False,quote,,,False,"€64,000 glazing supply + €40,000 frames, installation and detailing. Structural opening work is in Berg Struktur."
glass,Glazing fabrication package,Alpenglas — fictional,64000,AG-260918,glazing,True,quote,,,False,"Included in Panorama Werk. Fabrication allowance pending thermal, structural and safety specifications."
joinery,Kitchen & bespoke silver-fir joinery,Fir Atelier — fictional,78000,FA-260918,,False,quote,,,False,"€62,000 cabinetry, worktops and fitting + €16,000 appliances. Includes arrival storage and selected bedroom joinery."
appliances,Integrated kitchen appliances,Kochraum — fictional,16000,KR-260918,joinery,True,quote,,,False,Included in Fir Atelier; final equipment schedule to be selected.
finishes,"Timber floors, plaster & stone finishes",Stein & Faser — fictional,42000,SF-260918,,False,quote,,,False,General interior floor and wall finishes. Kitchen worktops and bathroom vanity are in their own packages.
furniture,"Furniture, curtains & textiles",Hochraum Editions — fictional,,HE-260918,,False,estimate,42000,58000,False,"Base selection €42,000; premium upholstery, rugs and loose furniture €58,000. Terrace option separate."
lighting,Decorative lighting,Lumen Alpin — fictional,16500,LA-260918,,False,quote,,,False,Decorative fixture supply only; installation and controls included in Lichtwerk Tirol.
bathrooms,Main bathrooms & sanitary fixtures,Quell Studio — fictional,28500,QS-260918,,False,quote,,,False,"Main-house sanitaryware, fittings and vanity package. Optional wellness suite excluded."
design,"Architecture, interiors & coordination allowance",Morgenlicht Atelier — fictional,48000,MA-260918,,False,quote,,,False,"Concept, design development, coordination and eight site reviews. Statutory fees, measured surveys and specialist reports excluded."
logistics,Alpine access & site logistics,Berg Transit — fictional,18500,BT-260918,,False,quote,,,False,Staged delivery and access allowance. Extraordinary weather delay and road restrictions remain outside this fixed demo allowance.
reserve,Client-held renovation contingency,Client allowance — fictional,62000,budget,,False,estimate,,,False,Uncommitted client reserve for a fictional conversion; not a supplier charge or permission to spend.
wellness,Optional garden-level wellness suite,Waldwasser — fictional,34800,WW-260918,,False,quote,,,True,"Illustrated wellness room is optional and off by default. €20,000 room fit-out + €14,800 sauna subquote."
sauna,Sauna cabin & heater package,Sauna Form — fictional,14800,SA-260918,wellness,True,quote,,,False,Included in optional Waldwasser package. Parent selection controls whether this scope is enabled; never add twice.
terrace,Optional terrace lounge & wind screens,Hochraum Outside — fictional,12600,HO-260918,,False,quote,,,True,"Loose outdoor seating and wind-screen allowance, additional to base terrace making good. Terrace image shows this option."
unknown,Concealed timber defects & unforeseen ground work,Survey pending — fictional,,scope,,False,unknown,,,False,Unknown and excluded from all totals until opened up and assessed. Not a zero-cost allowance.
